id,restaurant_address,restaurant_name,restaurant_cuisine,restaurant_rating,res_id
0,Sudama Nagar,Namo Sandwich,Fast Food,4.3,1e8a8069-35b7-426c-9ba0-da0e666d1e68
1,"BCM Heights, Vijay Nagar",Bake N Shake,"Cafe, Fast Food, Bakery",4.2,0d8f7da9-836d-49c7-8dcb-a2cbebc1c28c
2,Sarwate Bus Stand,Shree Gurukripa,North Indian,4.3,e97422b9-c3cf-4e8c-87ac-ba3bd7bca6a7
3,Old Palasia,Nafees Restaurant,"North Indian, Mughlai",4.3,2adc77b1-c064-466e-be0f-882bcb9ac579
4,Sarwate Bus Stand,Hotel Guru Kripa,North Indian,4.3,8214f604-f4b6-420e-9e77-acc53c856a07
5,Vijay Nagar,Shree Gurukripa,North Indian,4.1,bd1c87bc-9353-4fff-841d-d2fae6ea1654
6,Sarwate Bus Stand,Hotel Guru Kripa Avenue,North Indian,4.1,c1648302-677b-4f3c-9c47-bd74e289e923
7,Sudama Nagar,Maa Ki Rasoi,"North Indian, South Indian",4.1,876210ae-cff3-402b-ac0b-c03f9ffc9bcf
8,Vijay Nagar,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",4.3,8d7a6fff-4ae1-498b-9067-8e3a92458ea4
9,South Tukoganj,Dutt Guru Kripa,"North Indian, Fast Food",4.1,7fa131b7-f790-46ab-8ded-a5b8c7cba3bf
10,HIG-LIG,Oye24,"North Indian, Chinese",4.1,dd94244e-2f5b-4b88-930e-f760634bec8c
11,Old Palasia,Mitti - Organic. Fresh. Desi.,"Cafe, North Indian",4.3,6b9b771e-38d1-4119-af2b-ef0720d758a7
12," Hotel Somdeep Palace, Vijay Nagar",SD 21 - Hotel Somdeep Palace,"North Indian, Chinese",4.6,0a347a42-994b-407f-b540-2cfff7d59b35
13,New Palasia,Sagar Gaire,"South Indian, North Indian, Fast Food",4.1,f01b87b8-d7c0-4d59-a724-bc2df167d48a
14,"Sapna Sangeeta Mall, Sapna Sangeeta",Domino's Pizza,"Pizza, Fast Food",3.9,324126df-8a4a-4574-949b-6217cee52c93
15,"Sayaji Hotel, Vijay Nagar",Cravings - Sayaji Hotel,"North Indian, Chinese, Italian",4.7,9db2756c-6c40-48f4-98b9-d0bec20ca5ed
16,Sarafa Bazaar,Hotel Rajhans,North Indian,4,b3346ad4-6ccf-4419-9e34-4909743577df
17,Khajrana,Hotel Zakir,North Indian,4.1,fc436f31-f532-46df-a1c5-98b37204d7b4
18,"Hotel Effotel, Vijay Nagar",The Cube - Hotel Effotel,"North Indian, Chinese, Italian",4.8,be24aecf-8850-4ebc-8f09-774c4d54fd01
19,Sapna Sangeeta,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",4,ade4d6e8-7d68-4553-bfc5-fbb24611f0f6
20,Old Palasia,Domino's Pizza,"Pizza, Fast Food",3.9,533cba15-09a6-41ca-956c-06ac38ea1421
21,HIG-LIG,99 Rotiwala,North Indian,4.2,0e56658a-98c5-4f36-8993-27bfe9646346
22,"56 Dukan, New Palasia",Madhuram Sweets,"Chinese, Mithai",4,02b1f79b-2958-4bed-974e-30ef06923441
23,"Sayaji Hotel, Vijay Nagar",Kebabsville - Sayaji Hotel,"North Indian, Bar Food",4.9,f3b222e8-d78a-44f8-8f49-9c179f8802c0
24,"Hotel Shreemaya, RNT Marg",Shreemaya Celebration,"Bakery, North Indian, South Indian, Fast Food",4.6,c9c9f33b-611e-4c63-aea9-89f2a7894b96
25,Sarwate Bus Stand,Hotel Madni Darbar,North Indian,3.9,4b7c55ad-d690-452a-8f1f-07c4ee0a6403
26,Old Palasia,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",4.2,ee2fbd27-3bae-4be0-99bf-ff3d453b5cc8
27,Vijay Nagar,Domino's Pizza,"Pizza, Fast Food",3.8,d1c58784-969c-4108-8260-9c0849f85331
28,New Palasia,The Monroe,"Italian, Chinese, North Indian",4.4,b31ce7a7-9b40-450b-b63e-28238e32fafb
29,Sapna Sangeeta,Singh Sahab,"North Indian, Chinese",3.9,c68d2b64-dc79-4509-bd96-a5e0d38ddbef
30,Vijay Nagar,Taberna - The Cafe Bar,"Italian, North Indian, Chinese",4.4,9c131b60-e675-4efc-8599-88335ae9ffb4
31,New Palasia,Mangosteen Cafe,Cafe,4,faa6b3d8-0367-4120-91e1-a53f3777028f
32,"Malhar Mega Mall, Vijay Nagar",KFC,"Burger, Fast Food",4,564a834a-1da1-42c6-b1c6-b53b7451312b
33,Vijay Nagar,Tic Tac Toe,"North Indian, Chinese, Fast Food",4.4,d3ba9e2a-aef6-4dbd-b9b6-ae1c48dc5a48
