,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,res_id
0,211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59,5f0deeeb-0fc9-4d42-9b68-6ba2f8c71b43
1,221,Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100,"Mughlai,Lucknowi",5Th Block,56,a25b6fe6-44ab-41db-9957-339e3bf13c9a
2,246,Jogupalya,Bangalore,Kim Lee,650.0,4.4,100,Chinese,Double Road,50,9c781263-cf9a-43cb-a5e2-b7a4596cede4
3,248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57,e7fc212f-d435-4be4-bb7a-87477fae1c97
4,249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63,8211e776-c1ea-4fb5-89ca-090df3952e12
5,254,Indiranagar,Bangalore,Treat,800.0,4.5,100,"Mughlai,North Indian",100 Feet Road,56,85c87e6a-bd67-4d24-b1f3-70b47d068560
6,258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,"Mexican,Beverages,Salads",Double Road,53,ef49eab9-4aca-4e48-a5a8-2335c9b367a1
7,263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57,75e1a3ea-f4ca-4eb8-a848-b9a3d48f42d9
8,267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57,cb28a721-58d9-4bb6-b082-b37bb6125b0d
9,308,Koramangala,Bangalore,Bangaliana,300.0,4.0,500,Bengali,7Th Block,57,c22a880e-af32-44dd-aed6-e71264271a4a
10,435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100,"Chinese,Thai,Nepalese",5Th Block,56,2233d07e-16aa-4477-8906-b8ffac408142
11,446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,"North Indian,Chinese",Cooke Town,55,2e4ed1b4-4c68-49c3-8a79-b8a9be2b19f4
12,453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54,e42f32cc-beff-491b-98fd-694eee006b5d
13,464,Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80,"American,Continental",Ulsoor Lake,48,4ed5f9bc-5c1d-481a-8ef5-d2d8d5eae073
14,504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59,471105cc-2612-4450-92e3-9c60ee494d19
15,604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100,"Mughlai,North Indian",7Th Block,52,ba8cd0d4-a0e1-4227-be58-99674413ff42
16,608,Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100,"Kerala,Seafood",Domlur Layout,55,26786419-eb36-4d4e-88d2-d900f4df1fe7
17,621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55,7dd5a1af-8170-4d9d-876b-a821c497f2fa
18,1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48,193f53cf-ef0d-448a-b48a-c0599b8a0efd
19,1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90,741d4bc0-96f4-4e3d-a9e1-73758b9fb24c
20,1304,Indiranagar,Bangalore,Esplanade,1200.0,4.3,100,"Mughlai,Bengali",I Indirangar,54,cce67352-cd7c-4395-9ab0-2f14f8df9571
21,1457,Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,53,9ba6907d-e36e-4809-97e7-54cf9cec2d74
22,1547,Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49,89de303c-264b-48b0-841f-02d95f1a37c0
23,1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56,058945a0-4109-468f-9f31-93a4d2b36e67
